"IDX_REPORTE","FECHA_REPORTE_C","SEXO","ESTADO_CIVIL","NIVEL_EDUCATIVO","ESTADO","EDAD_C","EDAD_G","ESTADO_CIVIL_G","NIVEL_EDUCATIVO_G","ANIO_REPORTE","FLAG"
"04-017203-0","2022-11-29","Hombre","Soltera","Preparatoria","Michoacán de Ocampo",17,"Adolescencia","Soltera","Medio",2022,0
"04-017217-0","2023-07-10","Mujer","Soltera","Licenciatura","Puebla",26,"Juventud","Soltera","Superior",2023,0
"04-017234-0",NA,"Hombre","Soltera","Secundaria","Ciudad de México",43,"Adultez","Soltera","Medio",NA,0
"04-017237-0",NA,"Hombre","Casada","Licenciatura","Nacional",56,"Adultez","Relacion","Superior",NA,0
"04-017241-0","2022-01-26","Hombre","Casada","Secundaria","Guerrero",31,"Adultez","Relacion","Medio",2022,0
"04-017249-0","2018-09-30","Hombre","Union libre","Preparatoria","Sinaloa",28,"Juventud","Relacion","Medio",2018,0
"04-017254-0",NA,"Hombre","Soltera","Secundaria","Portal",33,"Adultez","Soltera","Medio",NA,0
"04-017273-0","2018-02-09","Hombre","Soltera","Preparatoria","México",51,"Adultez","Soltera","Medio",2018,0
"04-017298-0",NA,"Hombre","Casada","Preparatoria","Portal",30,"Juventud","Relacion","Medio",NA,0
"04-017303-0",NA,"Mujer","Casada","Preparatoria","Portal",44,"Adultez","Relacion","Medio",NA,0
"04-017305-0","2019-07-18","Hombre","Soltera","Primaria","Sinaloa",18,"Adolescencia","Soltera","Basico",2019,0
"04-017306-0","2020-10-06","Mujer","Soltera","Preparatoria","Ciudad de México",15,"Adolescencia","Soltera","Medio",2020,0
"04-017307-0","2021-09-08","Hombre","Soltera","Primaria","México",88,"Adultez Mayor","Soltera","Basico",2021,0
"04-017331-0","2011-08-01","Mujer","Union libre","Secundaria","México",19,"Juventud","Relacion","Medio",2011,0
"04-017334-0",NA,"Mujer","Soltera","Secundaria","Nuevo León",14,"Adolescencia","Soltera","Medio",NA,0
"04-017339-0","2022-09-08","Mujer","Soltera","Primaria","Oaxaca",39,"Adultez","Soltera","Basico",2022,0
"04-017348-0","2022-06-08","Hombre","Soltera","Secundaria","Sonora",23,"Juventud","Soltera","Medio",2022,0
"04-017352-0","2017-12-22","Hombre","Union libre","Sin escolaridad","Guanajuato",23,"Juventud","Relacion","Desconocido",2017,0
"04-017354-0",NA,"Hombre","Casada","Secundaria","Nuevo León",35,"Adultez","Relacion","Medio",NA,0
"04-017361-0",NA,"Hombre","Casada","Secundaria","Portal",37,"Adultez","Relacion","Medio",NA,0
"04-017377-0",NA,"Hombre","Union libre","Primaria","Portal",24,"Juventud","Relacion","Basico",NA,0
"04-017390-0",NA,"Mujer","Union libre","Secundaria","Portal",31,"Adultez","Relacion","Medio",NA,0
"04-017417-0",NA,"Mujer","Separada","Preparatoria","Portal",19,"Juventud","Separada/Divorciada","Medio",NA,0
"04-017419-0","2019-02-14","Hombre","Soltera","Secundaria","Ciudad de México",56,"Adultez","Soltera","Medio",2019,0
"04-017420-0",NA,"Mujer","Soltera","Secundaria","Veracruz de Ignacio de la Llave",24,"Juventud","Soltera","Medio",NA,0
"04-017421-0","2022-11-20","Hombre","Casada","Secundaria","Ciudad de México",56,"Adultez","Relacion","Medio",2022,0
"04-017422-0","2022-03-18","Hombre","Soltera","Primaria","San Luis Potosí",38,"Adultez","Soltera","Basico",2022,0
"04-017441-0",NA,"Hombre","Soltera","Secundaria","Sinaloa",44,"Adultez","Soltera","Medio",NA,0
"04-017483-0","2022-04-24","Hombre","Soltera","Secundaria","Zacatecas",27,"Juventud","Soltera","Medio",2022,0
"04-017488-0","2018-08-18","Hombre","Soltera","Secundaria","Sinaloa",20,"Juventud","Soltera","Medio",2018,0
"04-017512-0","2022-11-15","Hombre","Casada","Secundaria","Puebla",28,"Juventud","Relacion","Medio",2022,0
"04-017521-0","2021-09-20","Hombre","Casada","Secundaria","México",51,"Adultez","Relacion","Medio",2021,0
"04-017524-0","2021-08-19","Hombre","Soltera","Preparatoria","Guerrero",28,"Juventud","Soltera","Medio",2021,0
"04-017525-1",NA,"Hombre","Soltera","Licenciatura","Portal",33,"Adultez","Soltera","Superior",NA,0
"04-017528-0",NA,"Mujer","Casada","Primaria","Portal",59,"Adultez","Relacion","Basico",NA,0
"04-017533-0",NA,"Hombre","Soltera","Secundaria","Sinaloa",31,"Adultez","Soltera","Medio",NA,0
"04-017540-0",NA,"Hombre","Soltera","Primaria","Nacional",23,"Juventud","Soltera","Basico",NA,0
"04-017548-0",NA,"Hombre","Soltera","Primaria","Portal",44,"Adultez","Soltera","Basico",NA,0
"04-017563-0","2020-08-20","Mujer","Soltera","Secundaria","Michoacán de Ocampo",15,"Adolescencia","Soltera","Medio",2020,0
"04-017568-0",NA,"Mujer","Soltera","Secundaria","Veracruz de Ignacio de la Llave",33,"Adultez","Soltera","Medio",NA,0
"04-017573-0","2022-01-25","Hombre","Divorciada","Secundaria","San Luis Potosí",65,"Adultez Mayor","Separada/Divorciada","Medio",2022,0
"04-017592-0","2019-02-08","Hombre","Soltera","Primaria","Ciudad de México",58,"Adultez","Soltera","Basico",2019,0
"04-017603-0",NA,"Hombre","Casada","Licenciatura","Nacional",56,"Adultez","Relacion","Superior",NA,0
"04-017614-0","2021-08-02","Hombre","Soltera","Preparatoria","Michoacán de Ocampo",34,"Adultez","Soltera","Medio",2021,0
"04-017625-0","2020-03-06","Mujer","Soltera","Preparatoria","México",17,"Adolescencia","Soltera","Medio",2020,0
"04-017627-0",NA,"Mujer","Casada","Secundaria","Nuevo León",65,"Adultez Mayor","Relacion","Medio",NA,0
"04-017638-0",NA,"Hombre","Divorciada","Secundaria","Guerrero",52,"Adultez","Separada/Divorciada","Medio",NA,0
"04-017655-0","2021-10-31","Hombre","Casada","Primaria","Michoacán de Ocampo",20,"Juventud","Relacion","Basico",2021,0
"04-017662-0",NA,"Hombre","Soltera","Preparatoria","Portal",18,"Adolescencia","Soltera","Medio",NA,0
"04-017672-0",NA,"Hombre","Soltera","Secundaria","Veracruz de Ignacio de la Llave",24,"Juventud","Soltera","Medio",NA,0
"04-017681-0","2023-07-18","Mujer","Soltera","Secundaria","México",13,"Adolescencia","Soltera","Medio",2023,0
"04-017693-0","2023-01-15","Hombre","Soltera","Secundaria","Sinaloa",31,"Adultez","Soltera","Medio",2023,0
"04-017696-0","2020-08-25","Hombre","Soltera","Primaria","Ciudad de México",39,"Adultez","Soltera","Basico",2020,0
"04-017704-0","2023-06-12","Hombre","Soltera","Secundaria","Ciudad de México",16,"Adolescencia","Soltera","Medio",2023,0
"04-017710-0",NA,"Hombre","Soltera","Secundaria","Nacional",30,"Juventud","Soltera","Medio",NA,0
"04-017711-0","2020-11-29","Hombre","Casada","Primaria","Ciudad de México",60,"Adultez","Relacion","Basico",2020,0
"04-017712-0",NA,"Mujer","Soltera","Secundaria","Portal",18,"Adolescencia","Soltera","Medio",NA,0
"04-017716-0",NA,"Hombre","Soltera","Sin escolaridad","Veracruz de Ignacio de la Llave",20,"Juventud","Soltera","Desconocido",NA,0
"04-017717-0","2023-06-20","Hombre","Soltera","Preparatoria","Michoacán de Ocampo",32,"Adultez","Soltera","Medio",2023,0
"04-017727-0","2022-07-02","Hombre","Soltera","Secundaria","Michoacán de Ocampo",16,"Adolescencia","Soltera","Medio",2022,0
"04-017729-0","2023-05-13","Hombre","Soltera","Licenciatura","México",20,"Juventud","Soltera","Superior",2023,0
"04-017733-0",NA,"Mujer","Soltera","Preparatoria","Portal",36,"Adultez","Soltera","Medio",NA,0
"04-017748-0",NA,"Hombre","Union libre","Secundaria","Veracruz de Ignacio de la Llave",24,"Juventud","Relacion","Medio",NA,0
"04-017757-0",NA,"Hombre","Soltera","Secundaria","Portal",22,"Juventud","Soltera","Medio",NA,0
"04-017777-0",NA,"Hombre","Casada","Secundaria","Portal",41,"Adultez","Relacion","Medio",NA,0
"04-017801-0",NA,"Hombre","Union libre","Secundaria","Portal",34,"Adultez","Relacion","Medio",NA,0
"04-017811-0","2022-09-22","Hombre","Union libre","Primaria","Guerrero",21,"Juventud","Relacion","Basico",2022,0
"04-017822-0",NA,"Hombre","Union libre","Secundaria","Chihuahua",29,"Juventud","Relacion","Medio",NA,0
"04-017823-0","2023-03-03","Hombre","Casada","Primaria","Michoacán de Ocampo",48,"Adultez","Relacion","Basico",2023,0
"04-017838-0","2023-07-06","Hombre","Soltera","Preparatoria","Nacional",29,"Juventud","Soltera","Medio",2023,0
"04-017842-0",NA,"Mujer","Soltera","Secundaria","Ciudad de México",30,"Juventud","Soltera","Medio",NA,0
"04-017845-0","2020-09-07","Hombre","Divorciada","Licenciatura","Portal",46,"Adultez","Separada/Divorciada","Superior",2020,0
"04-017847-0","2022-10-07","Hombre","Soltera","Primaria","Portal",31,"Adultez","Soltera","Basico",2022,0
"04-017864-0",NA,"Mujer","Soltera","Preparatoria","Portal",31,"Adultez","Soltera","Medio",NA,0
"04-017866-0","2022-05-17","Mujer","Union libre","Secundaria","Portal",31,"Adultez","Relacion","Medio",2022,0
"04-017881-0",NA,"Mujer","Soltera","Sin escolaridad","Portal",73,"Adultez Mayor","Soltera","Desconocido",NA,0
"04-017882-0",NA,"Hombre","Casada","Licenciatura","Portal",42,"Adultez","Relacion","Superior",NA,0
"04-017886-0",NA,"Hombre","Viuda","Preparatoria","Portal",61,"Adultez Mayor","Desconocido","Medio",NA,0
"04-017890-0",NA,"Hombre","Soltera","Sin escolaridad","Portal",41,"Adultez","Soltera","Desconocido",NA,0
"04-017899-0",NA,"Hombre","Soltera","Sin escolaridad","Portal",26,"Juventud","Soltera","Desconocido",NA,0
"04-017900-0","2023-06-08","Hombre","Soltera","Preparatoria","Sinaloa",56,"Adultez","Soltera","Medio",2023,0
"04-017902-0",NA,"Mujer","Soltera","Secundaria","Quintana Roo",16,"Adolescencia","Soltera","Medio",NA,0
"04-017903-0","2023-05-30","Mujer","Soltera","Preparatoria","Nayarit",31,"Adultez","Soltera","Medio",2023,0
"04-017910-0","2021-11-02","Hombre","Casada","Secundaria","Michoacán de Ocampo",39,"Adultez","Relacion","Medio",2021,0
"04-017915-0","2022-05-30","Hombre","Union libre","Primaria","Guerrero",34,"Adultez","Relacion","Basico",2022,0
"04-017918-0",NA,"Hombre","Union libre","Secundaria","Veracruz de Ignacio de la Llave",25,"Juventud","Relacion","Medio",NA,0
"04-017930-0","2017-09-02","Hombre","Concubina","Secundaria","Guanajuato",24,"Juventud","Relacion","Medio",2017,0
"04-017944-0",NA,"Mujer","Soltera","Primaria","Portal",14,"Adolescencia","Soltera","Basico",NA,0
"04-017950-0","2022-11-29","Hombre","Union libre","Primaria","Sinaloa",26,"Juventud","Relacion","Basico",2022,0
"04-017966-0","2019-03-12","Hombre","Soltera","Preparatoria","Ciudad de México",53,"Adultez","Soltera","Medio",2019,0
"04-017972-0",NA,"Mujer","Separada","Tecnico","Portal",26,"Juventud","Separada/Divorciada","Desconocido",NA,0
"04-017979-0",NA,"Hombre","Separada","Secundaria","Portal",20,"Juventud","Separada/Divorciada","Medio",NA,0
"04-017983-0","2023-06-07","Mujer","Union libre","Sin escolaridad","México",22,"Juventud","Relacion","Desconocido",2023,0
"04-017991-0",NA,"Hombre","Soltera","Primaria","Veracruz de Ignacio de la Llave",17,"Adolescencia","Soltera","Basico",NA,0
"04-017992-0",NA,"Hombre","Casada","Primaria","Nacional",45,"Adultez","Relacion","Basico",NA,0
"04-017996-0",NA,"Hombre","Soltera","Secundaria","Portal",47,"Adultez","Soltera","Medio",NA,0
"04-017999-0","2019-07-11","Hombre","Casada","Primaria","Sinaloa",48,"Adultez","Relacion","Basico",2019,0
"04-018014-0","2019-02-21","Mujer","Concubina","Primaria","Ciudad de México",35,"Adultez","Relacion","Basico",2019,0
"04-018023-0","2021-06-14","Hombre","Casada","Licenciatura","México",51,"Adultez","Relacion","Superior",2021,0
"04-018027-0",NA,"Hombre","Separada","Primaria","Portal",25,"Juventud","Separada/Divorciada","Basico",NA,0
"04-018034-0",NA,"Hombre","Union libre","Primaria","Portal",33,"Adultez","Relacion","Basico",NA,0
"04-018040-0",NA,"Hombre","Soltera","Secundaria","Guerrero",27,"Juventud","Soltera","Medio",NA,0
"04-018049-0",NA,"Mujer","Union libre","Primaria","Portal",37,"Adultez","Relacion","Basico",NA,0
"04-018093-0","2022-10-11","Mujer","Soltera","Secundaria","Puebla",31,"Adultez","Soltera","Medio",2022,0
